species,date,site,load,temp,rain,individual
L. pearsoniana,8/12/19,Brindle Creek,21179,20,25,Other1
L. pearsoniana,8/12/19,Brindle Creek,19133,20,25,Other2
L. pearsoniana,8/12/19,Brindle Creek,9661,20,25,Other3
L. pearsoniana,8/12/19,Brindle Creek,0,20,25,Other4
L. pearsoniana,8/12/19,Brindle Creek,0,20,25,Other5
L. fletcheri,8/12/19,Brindle Creek,0,20,25,Other6
L. pearsoniana,15/1/20,Brindle Creek,0,22,102,Other7
L. pearsoniana,26/2/20,Brindle Creek,0,21.9,658,Other8
L. pearsoniana,26/2/20,Brindle Creek,0,21.9,658,Other9
L. fletcheri,26/2/20,Brindle Creek,0,21.9,658,Other10
L. pearsoniana,8/4/20,Brindle Creek,0,19.2,115,Other11
L. pearsoniana,21/5/20,Brindle Creek,0,15.3,52,Other12
L. pearsoniana,21/5/20,Brindle Creek,0,15.3,52,Other13
L. pearsoniana,21/5/20,Brindle Creek,0,15.3,52,Other14
L. pearsoniana,21/5/20,Brindle Creek,0,15.3,52,Other15
L. pearsoniana,21/5/20,Brindle Creek,0,15.3,52,Other16
L. pearsoniana,21/5/20,Brindle Creek,0,15.3,52,Other17
L. pearsoniana,21/5/20,Brindle Creek,0,15.3,52,Other18
L. pearsoniana,21/5/20,Brindle Creek,0,15.3,52,Other19
L. pearsoniana,21/5/20,Brindle Creek,0,15.3,52,Other20
L. pearsoniana,21/5/20,Brindle Creek,0,15.3,52,Other21
L. pearsoniana,21/5/20,Brindle Creek,16811,15.3,52,Other22
L. pearsoniana,21/5/20,Brindle Creek,0,15.3,52,Other23
L. pearsoniana,21/5/20,Brindle Creek,0,15.3,52,Other24
L. pearsoniana,21/5/20,Brindle Creek,0,15.3,52,Other25
L. pearsoniana,21/5/20,Brindle Creek,0,15.3,52,Other26
L. pearsoniana,21/5/20,Brindle Creek,0,15.3,52,Other27
L. pearsoniana,21/5/20,Brindle Creek,0,15.3,52,Other28
L. pearsoniana,21/5/20,Brindle Creek,0,15.3,52,Other29
L. fletcheri,21/5/20,Brindle Creek,0,15.3,52,Other30
L. fletcheri,21/5/20,Brindle Creek,0,15.3,52,Other31
L. pearsoniana,13/8/20,Brindle Creek,0,11.2,114,Other32
L. pearsoniana,13/8/20,Brindle Creek,0,11.2,114,Other33
L. pearsoniana,13/8/20,Brindle Creek,0,11.2,114,Other34
L. pearsoniana,24/9/20,Brindle Creek,186,13.6,56,Other35
L. pearsoniana,24/9/20,Brindle Creek,781,13.6,56,Other36
L. pearsoniana,24/9/20,Brindle Creek,0,13.6,56,Other37
L. pearsoniana,24/9/20,Brindle Creek,0,13.6,56,Other38
L. pearsoniana,24/9/20,Brindle Creek,0,13.6,56,Other39
L. pearsoniana,24/9/20,Brindle Creek,0,13.6,56,Other40
L. pearsoniana,24/9/20,Brindle Creek,0,13.6,56,Other41
L. pearsoniana,24/9/20,Brindle Creek,0,13.6,56,Other42
L. pearsoniana,24/9/20,Brindle Creek,0,13.6,56,Other43
L. pearsoniana,24/9/20,Brindle Creek,0,13.6,56,Other44
L. pearsoniana,4/11/20,Brindle Creek,458,16.6,113,Other45
L. pearsoniana,4/11/20,Brindle Creek,50023,16.6,113,Other46
L. pearsoniana,4/11/20,Brindle Creek,13550,16.6,113,Other47
L. pearsoniana,4/11/20,Brindle Creek,216,16.6,113,Other48
L. pearsoniana,4/11/20,Brindle Creek,0,16.6,113,Other49
L. pearsoniana,4/11/20,Brindle Creek,0,16.6,113,Other50
L. pearsoniana,4/11/20,Brindle Creek,0,16.6,113,Other51
L. pearsoniana,4/11/20,Brindle Creek,0,16.6,113,Other52
L. pearsoniana,4/11/20,Brindle Creek,0,16.6,113,Other53
L. pearsoniana,4/11/20,Brindle Creek,0,16.6,113,Other54
L. pearsoniana,4/11/20,Brindle Creek,0,16.6,113,Other55
L. pearsoniana,28/1/21,Brindle Creek,80228,20.5,347,Other56
L. pearsoniana,28/1/21,Brindle Creek,2806577,20.5,347,Other57
L. pearsoniana,28/1/21,Brindle Creek,0,20.5,347,Other58
L. pearsoniana,28/1/21,Brindle Creek,0,20.5,347,Other59
L. pearsoniana,28/1/21,Brindle Creek,0,20.5,347,Other60
L. pearsoniana,28/1/21,Brindle Creek,0,20.5,347,Other61
L. pearsoniana,10/12/19,Tuntable Creek,13787,22.4,38,Other62
L. pearsoniana,10/12/19,Tuntable Creek,0,22.4,38,Other63
L. wilcoxii,10/12/19,Tuntable Creek,0,22.4,38,Other64
L. wilcoxii,10/12/19,Tuntable Creek,125,22.4,38,Other65
L. wilcoxii,10/12/19,Tuntable Creek,0,22.4,38,Other66
L. wilcoxii,10/12/19,Tuntable Creek,0,22.4,38,Other67
L. wilcoxii,10/12/19,Tuntable Creek,0,22.4,38,Other68
M. fasciolatus,10/12/19,Tuntable Creek,0,22.4,38,Other69
M. fasciolatus,10/12/19,Tuntable Creek,0,22.4,38,Other70
M. fasciolatus,10/12/19,Tuntable Creek,2061,22.4,38,Other71
M. fasciolatus,10/12/19,Tuntable Creek,0,22.4,38,Other72
M. fasciolatus,10/12/19,Tuntable Creek,0,22.4,38,Other73
M. fasciolatus,10/12/19,Tuntable Creek,0,22.4,38,Other74
M. fasciolatus,10/12/19,Tuntable Creek,0,22.4,38,Other75
L. chloris,10/12/19,Tuntable Creek,0,22.4,38,Other76
L. chloris,10/12/19,Tuntable Creek,0,22.4,38,Other77
