temp.max,temp.min,rain
20,6,2
23.8,11.2,40
22.9,13.3,354
26.5,15.7,234
25.2,17.5,349
19.9,8.6,287
21.9,12.0,279
26.0,14.3,98
27.8,15.8,34
20.8,10.3,487
23.1,10.0,52
27.4,12.6,25
28.0,16.1,102
26.0,17.8,658
23.2,15.1,115
20.5,10.1,52
16.3,7.8,101
16.0,6.4,114
18.8,8.3,56
22.6,10.5,113
25.8,14.4,474
24.9,16.0,347
24.6,16.1,354
22.2,6.4,45
26.0,11.5,45
25.3,15.3,410
29.1,18.0,249
28.4,18.7,291
22.7,10.5,501
27.3,15.2,102
29.2,17.5,66
30.1,18.8,46
22.8,10.9,598
25.5,11.9,26
29.7,15.1,38
30.0,18.5,322
27.2,20.1,665
24.4,16.1,160
21.5,11.2,86
18.4,9.1,123
18.1,8.2,186
20.9,9.5,63
24.3,12.4,118
26.9,17.2,586
26.5,17.6,310
26.0,17.8,528
22.5,7,342
25.7,10.7,43
25.7,15.5,342
29.1,18.0,324
28.7,19.1,280
22.5,10.5,436
26.8,13.4,423
29.4,17.3,62
31.3,19.4,21
22.9,11.7,659
25.8,11.9,23
30.0,15.3,37
30.4,18.6,95
27.4,20.5,857
24.7,17.0,153
22.1,11.8,94
18.2,9.3,119
18.2,8.3,177
21.0,9.7,78
24.1,12.1,114
26.7,16.3,468
26.8,17.8,389
26.0,17.8,528
