brindle,tuntable,batcave
13/9/17,31/8/17,27/8/17
4/10/17,11/10/17,8/10/17
27/11/17,1/12/17,19/11/17
13/2/18,21/1/18,24/1/18
11/3/18,3/3/18,4/3/18
20/9/18,17/10/18,2/9/18
5/11/18,27/11/18,24/11/18
22/12/18,16/1/19,7/1/19
7/2/19,3/3/19,12/2/19
12/9/19,15/9/19,13/9/19
22/10/19,26/10/19,24/10/19
8/12/19,10/12/19,10/12/19
15/1/20,22/1/20,17/1/20
26/2/20,2/3/20,28/2/20
8/4/20,12/4/20,10/4/20
20/5/20,24/5/20,22/5/20
1/7/20,5/7/20,2/7/20
13/8/20,17/8/20,15/8/20
24/9/20,28/9/20,26/9/20
4/11/20,7/11/20,6/11/20
17/12/20,28/12/20,17/12/20
28/1/21,1/2/20,30/1/21
11/3/21,13/3/21,16/3/21
