"","mean","sd","95%_HPDL","95%_HPDU","Rhat","n.eff","median"
"mean.phi[1, 1]",0.885,0.057,0.775,0.972,1.01,3040,0.897
"mean.phi[2, 1]",0.903,0.032,0.837,0.964,1.01,2478,0.904
"mean.phi[3, 1]",0.893,0.03,0.831,0.951,1,1762,0.895
"mean.phi[4, 1]",0.88,0.052,0.771,0.964,1,1556,0.889
"mean.phi[5, 1]",0.905,0.022,0.86,0.945,1.01,1642,0.906
"mean.phi[6, 1]",0.915,0.029,0.861,0.972,1,1173,0.915
"mean.phi[7, 1]",0.886,0.039,0.808,0.962,1.01,2336,0.89
"mean.phi[8, 1]",0.888,0.037,0.813,0.961,1.01,2718,0.891
"mean.phi[9, 1]",0.888,0.024,0.839,0.932,1,1408,0.89
"mean.phi[10, 1]",0.835,0.089,0.633,0.94,1.02,507,0.867
"mean.phi[11, 1]",0.88,0.046,0.781,0.964,1.01,1879,0.887
"mean.phi[12, 1]",0.899,0.036,0.83,0.971,1,1579,0.9
"mean.phi[13, 1]",0.894,0.035,0.823,0.962,1.01,1360,0.896
"mean.phi[14, 1]",0.894,0.036,0.819,0.961,1.01,1852,0.897
"mean.phi[15, 1]",0.912,0.031,0.853,0.972,1,1865,0.913
"mean.phi[16, 1]",0.912,0.036,0.845,0.978,1.01,1861,0.915
"mean.phi[17, 1]",0.914,0.034,0.846,0.976,1,1847,0.917
"mean.phi[18, 1]",0.911,0.032,0.852,0.978,1,1769,0.913
"mean.phi[19, 1]",0.912,0.029,0.859,0.974,1.01,1460,0.912
"mean.phi[20, 1]",0.907,0.032,0.849,0.971,1,1686,0.907
"mean.phi[21, 1]",0.905,0.031,0.846,0.968,1,1912,0.905
"mean.phi[22, 1]",0.893,0.043,0.811,0.972,1,1797,0.897
"mean.phi[1, 2]",0.92,0.038,0.852,0.984,1.01,4009,0.926
"mean.phi[2, 2]",0.922,0.03,0.863,0.978,1,2870,0.926
"mean.phi[3, 2]",0.917,0.033,0.855,0.979,1,2567,0.921
"mean.phi[4, 2]",0.916,0.036,0.848,0.979,1.01,3862,0.921
"mean.phi[5, 2]",0.938,0.021,0.898,0.977,1,1443,0.939
"mean.phi[6, 2]",0.923,0.031,0.863,0.982,1.01,3416,0.926
"mean.phi[7, 2]",0.929,0.027,0.879,0.981,1,1745,0.93
"mean.phi[8, 2]",0.898,0.044,0.805,0.967,1,1482,0.907
"mean.phi[9, 2]",0.936,0.019,0.897,0.973,1,1644,0.937
"mean.phi[10, 2]",0.928,0.026,0.878,0.979,1,3207,0.93
"mean.phi[11, 2]",0.924,0.028,0.869,0.976,1,3063,0.926
"mean.phi[12, 2]",0.912,0.033,0.844,0.97,1,2534,0.917
"mean.phi[13, 2]",0.876,0.06,0.747,0.959,1,776,0.894
"mean.phi[14, 2]",0.924,0.026,0.873,0.974,1,2951,0.926
"mean.phi[15, 2]",0.921,0.032,0.854,0.974,1,2935,0.926
"mean.phi[16, 2]",0.928,0.031,0.866,0.981,1,2093,0.933
"mean.phi[17, 2]",0.926,0.032,0.864,0.979,1,1887,0.932
"mean.phi[18, 2]",0.93,0.027,0.876,0.978,1.01,2083,0.933
"mean.phi[19, 2]",0.926,0.028,0.87,0.975,1,2231,0.929
"mean.phi[20, 2]",0.926,0.026,0.873,0.974,1,2331,0.927
"mean.phi[21, 2]",0.905,0.039,0.822,0.966,1,1453,0.913
"mean.phi[22, 2]",0.917,0.035,0.849,0.979,1,3382,0.922
"mean.phi[1, 3]",0.907,0.043,0.824,0.974,1,4075,0.913
"mean.phi[2, 3]",0.902,0.045,0.82,0.976,1,3977,0.909
"mean.phi[3, 3]",0.89,0.044,0.803,0.969,1,2070,0.898
"mean.phi[4, 3]",0.901,0.04,0.824,0.976,1,2609,0.906
"mean.phi[5, 3]",0.918,0.026,0.867,0.965,1,1904,0.92
"mean.phi[6, 3]",0.92,0.028,0.87,0.977,1,1886,0.92
"mean.phi[7, 3]",0.912,0.034,0.846,0.975,1,2231,0.914
"mean.phi[8, 3]",0.883,0.05,0.78,0.966,1,1865,0.892
"mean.phi[9, 3]",0.915,0.025,0.864,0.964,1,2322,0.916
"mean.phi[10, 3]",0.904,0.04,0.823,0.973,1,3438,0.91
"mean.phi[11, 3]",0.885,0.051,0.783,0.969,1,1804,0.895
